id,question,courseId,feedbackResponses
1,Fight worry enjoy benefit happy force possible.,1,[]
2,Agent sing present establish forward media.,2,[]
3,View federal those half.,3,[]
4,Approach value story far environmental.,4,[]
5,Apply organization everything either indeed community.,5,[]
6,Data choose month eat world ask.,6,[]
7,Only one police sure.,7,[]
8,Fund item develop answer drug system religious.,8,[]
9,Strong recognize ago main act part and.,9,[]
10,Speak wait then your present.,10,[]
11,Face three American.,11,[]
12,Throughout south high operation prevent ability.,12,[]
13,Product hot performance PM.,13,[]
14,Call establish while four fill firm couple line.,14,[]
15,Far information share beautiful compare home remember.,15,[]
16,Dinner at common and to.,16,[]
17,Exactly each water American.,17,[]
18,Price teach leg firm know blood base.,18,[]
19,Lot out thought help we article.,19,[]
20,Attorney difficult six accept one sea bill.,20,[]
21,Dream inside have production.,21,[]
22,Language difficult leave.,22,[]
23,Church place Mr Mrs despite question start.,23,[]
24,Thought light very end.,24,[]
25,Degree environmental team never its.,25,[]
26,For key activity though above.,26,[]
27,Turn scene response north guess.,27,[]
28,Any type morning at.,28,[]
29,Month executive skill newspaper fish end cultural must.,29,[]
30,Admit boy close man model fact anyone fear.,30,[]
31,Although expert point benefit.,31,[]
32,Receive dream loss avoid area.,32,[]
33,From decade arrive into organization visit.,33,[]
34,Avoid growth buy action hand democratic affect man.,34,[]
35,Add may politics born.,35,[]
36,Sport nation over argue usually every minute player.,36,[]
37,Every key office focus be reason.,37,[]
38,Require produce difficult professional opportunity purpose.,38,[]
39,Speech actually scene.,39,[]
40,Direction discussion letter.,40,[]
41,Share one born place method.,41,[]
42,Boy she including at.,42,[]
43,Provide animal give democratic offer produce fill.,43,[]
44,Nor bed nothing green baby order.,44,[]
45,Stop ago walk parent.,45,[]
46,Trouble throughout yes family recently million program.,46,[]
47,Medical charge attention perhaps nothing stay goal.,47,[]
48,Mean so industry drug determine.,48,[]
49,Anyone situation particularly.,49,[]
50,Attack often get win.,50,[]
